name,yellow,second_yellow,red,goals,assists,g/a,position,actual_team,actual_league,value,player_league,player_team,player_nationality,appearances,age
Piero Hincapié,9.0,2.0,1.0,1.0,1.0,2.0,Defensa central,,,,Bundesliga,Bayer 04 Leverkusen,Ecuador,30.0,21.0
Ozan Kabak,8.0,2.0,0.0,2.0,3.0,5.0,Defensa central,TSG 1899 Hoffenheim,Bundesliga,13.0,Bundesliga,TSG 1899 Hoffenheim,Turquía,30.0,23.0
Nicolas Höfler,9.0,0.0,1.0,0.0,1.0,1.0,Pivote,,,,Bundesliga,SC Friburgo,Alemania,32.0,33.0
Marco Friedl,8.0,0.0,1.0,,,,Defensa central,,,,Bundesliga,SV Werder Bremen,Austria,30.0,
Jeffrey Gouweleeuw,12.0,0.0,0.0,0.0,1.0,1.0,Defensa central,,,,Bundesliga,FC Augsburgo,Países Bajos,32.0,31.0
Emmanuel Agbadou,5.0,0.0,3.0,0.0,3.0,3.0,Defensa central,,,,Ligue 1,Stade de Reims,Costa de Marfil,29.0,25.0
Téji Savanier,4.0,0.0,3.0,12.0,4.0,16.0,Mediocentro ofensivo,,,,Ligue 1,Montpellier HSC,Francia,30.0,31.0
Marco Verratti,10.0,0.0,1.0,,,,Mediocentro,,,,Ligue 1,París Saint-Germain FC,Italia,29.0,
Alidu Seidu,10.0,0.0,1.0,,,,Defensa central,,,,Ligue 1,Clermont Foot 63,Ghana,28.0,
Pierre Lees-Melou,10.0,0.0,1.0,5.0,5.0,10.0,Pivote,,,,Ligue 1,Stade Brestois 29,Francia,32.0,30.0
Manu Koné,12.0,0.0,0.0,1.0,1.0,2.0,Mediocentro,Borussia Mönchengladbach,Bundesliga,35.0,Bundesliga,Borussia Mönchengladbach,Francia,30.0,22.0
Ermedin Demirovic,7.0,0.0,1.0,8.0,6.0,14.0,Delantero centro,FC Augsburgo,Bundesliga,20.0,Bundesliga,FC Augsburgo,Bosnia y Herzegovina,30.0,25.0
Amine Adli,2.0,0.0,2.0,5.0,5.0,10.0,Extremo izquierdo,Bayer 04 Leverkusen,Bundesliga,25.0,Bundesliga,Bayer 04 Leverkusen,Marruecos,26.0,23.0
